Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.08979630407426455,0.24386844380032519
A,1,21,0.07009599938463187,0.27357014219480924
A,2,33,0.5299531465511963,0.4804565302377334
A,3,45,1.3596526514181297,0.5424749746724006
A,4,57,0.5546937894919435,0.4038511012049285
A,5,69,0.34684770760323375,0.20454288521940445
A,6,81,0.38291110348208457,0.13883473740043917
A,7,93,0.18939374821320037,0.09864639993749413
A,8,105,0.07276919129509934,0.06070681520977114
A,9,117,0.02404949309796989,0.03591725723942648
A#,0,10,0.06547854773161652,0.20027478099876456
A#,1,22,0.07043439815367718,0.26901104460071484
A#,2,34,0.7660891913195762,0.475461009711326
A#,3,46,1.786532267991115,0.6031085867706661
A#,4,58,1.2012013300241173,0.5797494238989698
A#,5,70,0.49702852334131087,0.22184847755644468
A#,6,82,0.29302387015495174,0.14555508834166553
A#,7,94,0.19291077447733784,0.09555837648862953
A#,8,106,0.06491347926372351,0.06425627179879971
A#,9,118,0.022479512867422363,0.036551298690340996
B,0,11,0.06844744300989808,0.21254835180275047
B,1,23,0.08385982416336378,0.30683973115835156
B,2,35,0.7843726922206028,0.4581042388691742
B,3,47,1.3395306972942793,0.4469794786788639
B,4,59,1.0494284123100324,0.5471342727153158
B,5,71,0.4151466873633256,0.24288882162321
B,6,83,0.29331357524439566,0.1399700398661432
B,7,95,0.17587796061685282,0.09876098098623845
B,8,107,0.05935291597469105,0.059571987492414914
B,9,119,0.021614609331085645,0.03589315490989971
C,0,0,0.06878443141053255,0.1784048896276003
C,1,12,0.05176990574317105,0.18006453272439404
C,2,24,0.08789558808329319,0.31044173327798674
C,3,36,0.6475943680383318,0.4408296201001278
C,4,48,0.7380532494352577,0.3204828826231989
C,5,60,0.6046099233471253,0.4018223358964049
C,6,72,0.3032219574903442,0.2570740091929408
C,7,84,0.2803148865650202,0.1328050018241383
C,8,96,0.1429239549484062,0.09872745737601388
C,9,108,0.05123232079889683,0.04990673562329551
C,10,120,0.02069416688577999,0.03590854199148332
C#,0,1,0.11563994079310183,0.22313115892525545
C#,1,13,0.05054153993949803,0.18665112944351353
C#,2,25,0.09392899916106387,0.3067760590964238
C#,3,37,0.9065241186374969,0.5768628029734456
C#,4,49,0.9862835062024888,0.4525132624072879
C#,5,61,0.6893792445644429,0.35160890692234864
C#,6,73,0.40473292024106006,0.22206709051405157
C#,7,85,0.31879821802205505,0.125893891735794
C#,8,97,0.1330703057157115,0.09367623587710386
C#,9,109,0.042841010636617036,0.04617107220244981
C#,10,121,0.0193397634836942,0.03450246394397403
D,0,2,0.18297952198074469,0.3446544276193142
D,1,14,0.06176118918501663,0.22876045661668012
D,2,26,0.10785813978096037,0.30559898762376847
D,3,38,1.2383142436928447,0.8081518021828453
D,4,50,0.8093676686037806,0.5807412941484319
D,5,62,0.6353442398844211,0.31292680647628324
D,6,74,0.39835873626863344,0.18597969043226062
D,7,86,0.23142409820309492,0.12870971480506968
D,8,98,0.10268888043087337,0.08898581268991541
D,9,110,0.0384963321775476,0.046034664696942354
D,10,122,0.01720493774498952,0.03189546650384034
D#,0,3,0.11503009228045816,0.2765153674081694
D#,1,15,0.055747541538691686,0.20941763969354776
D#,2,27,0.14506381704912474,0.3178515758524724
D#,3,39,1.452931856716945,0.864883734847025
D#,4,51,0.41067163732686474,0.5679734209366631
D#,5,63,0.6559775528661667,0.3269190364893571
D#,6,75,0.3835287631602661,0.17974201604394027
D#,7,87,0.22585913817428405,0.1248279492179992
D#,8,99,0.10676055943046343,0.08125681686732932
D#,9,111,0.04155057431818325,0.049390383366289585
D#,10,123,0.014629048519353177,0.029999575083456378
E,0,4,0.11603954080510304,0.2733108085836508
E,1,16,0.05446075710739554,0.21952639835971352
E,2,28,0.20441380917211252,0.34135581800057807
E,3,40,1.4917356365961723,0.9065228304307066
E,4,52,0.30374497451135946,0.4483296955388952
E,5,64,0.6816713931498982,0.3110932041100595
E,6,76,0.4610851492781363,0.1729482204907934
E,7,88,0.2508883274435102,0.11280027530590249
E,8,100,0.09204793317156523,0.07492526916100933
E,9,112,0.04074917576331057,0.05159760040809147
E,10,124,0.013271136322470553,0.028880939296043812
F,0,5,0.13396420951486646,0.25273309521574827
F,1,17,0.04922842493167357,0.2244778709036516
F,2,29,0.3077410676544183,0.4309525962811439
F,3,41,1.5821591420982803,0.7819097079210888
F,4,53,0.39647739456235737,0.3836718075455445
F,5,65,0.8131451774203049,0.2773182876730824
F,6,77,0.8502935768046874,0.16367430999030405
F,7,89,0.3580273218811242,0.09650224956724605
F,8,101,0.10349938823854185,0.07356127912474847
F,9,113,0.037478612389623786,0.04782615055043442
F,10,125,0.013324008216305217,0.02710136359083475
F#,0,6,0.09457037427316448,0.24746896825727915
F#,1,18,0.05189185775838522,0.2157651196727033
F#,2,30,0.40204490513850827,0.4641893978632381
F#,3,42,1.9677472400217841,0.659613667540406
F#,4,54,0.4501507686592133,0.36703681117110437
F#,5,66,0.7676154626029223,0.24832029752618814
F#,6,78,0.692558922926823,0.16235158094112706
F#,7,90,0.2910294638519558,0.09098875819461678
F#,8,102,0.09064124949139842,0.0688453302875009
F#,9,114,0.03169906348190786,0.04114393479397099
F#,10,126,0.012764736885112905,0.02473585090666741
G,0,7,0.14511952420174012,0.4150328235280625
G,1,19,0.06481202067764141,0.2582239256986754
G,2,31,0.42096701058848374,0.4825723995632001
G,3,43,1.5496577780522003,0.4264046244357968
G,4,55,0.2846431535571046,0.29476015313473747
G,5,67,0.40648577075587683,0.22481935460382355
G,6,79,0.3064432327257641,0.14777126487247866
G,7,91,0.15332193712043699,0.09709744357458892
G,8,103,0.068501829371044,0.06330750423632413
G,9,115,0.025682109246455587,0.03623144888888674
G,10,127,0.01111780257511811,0.021683311827341088
G#,0,8,0.09368958884404678,0.2718104549441963
G#,1,20,0.07290763038773834,0.2609505207130329
G#,2,32,0.3987579812253545,0.48276509880721896
G#,3,44,1.210448986661299,0.4031744492833416
G#,4,56,0.20788749389363692,0.29967058136396313
G#,5,68,0.3289323413862904,0.22037543594038878
G#,6,80,0.4728776164972894,0.1343636536739124
G#,7,92,0.1958145281567731,0.10001936954339885
G#,8,104,0.0732757466012896,0.059632617896214865
G#,9,116,0.023921772376840053,0.03435450048247968
